Date,Value
1979-08-04,15.63078268
1979-08-05,15.60289107
1979-08-06,15.64294805
1979-08-07,15.6717494
1979-08-08,15.66378284
1979-08-09,15.64864812
1979-08-10,15.71430506
1979-08-11,15.75658083
1979-08-12,15.73166853
1979-08-13,15.80806382
1979-08-14,15.82403119
1979-08-15,15.81257386
1979-08-16,15.83857118
1979-08-17,15.86115141
1979-08-18,15.89669549
1979-08-19,15.85746449
1979-08-20,15.91648214
1979-08-21,15.94824028
1979-08-22,16.00575003
1979-08-23,16.05319889
1979-08-24,16.01676411
1979-08-25,16.09070482
1979-08-26,16.13281345
1979-08-27,16.14145158
1979-08-28,16.17997085
1979-08-29,16.17961818
1979-08-30,16.17896577
1979-08-31,16.26647587
1979-09-01,16.31514294
1979-09-02,16.38498288
1979-09-03,16.42849776
1979-09-04,16.36236692
1979-09-05,16.42356089
1979-09-06,16.42059358
1979-09-07,16.44012061
1979-09-08,16.54427276
1979-09-09,16.52493828
1979-09-10,16.55418257
1979-09-11,16.66012177
1979-09-12,16.71230506
1979-09-13,16.72822512
1979-09-14,16.79753058
1979-09-15,16.79891634
1979-09-16,16.8770405
1979-09-17,16.91646872
1979-09-18,16.91989976
1979-09-19,16.88926679
1979-09-20,16.98332365
1979-09-21,16.98370922
1979-09-22,17.00073676
1979-09-23,17.10975993
1979-09-24,17.11173173
1979-09-25,17.0621124
1979-09-26,17.14540414
1979-09-27,17.15707096
1979-09-28,17.1815935
1979-09-29,17.22485923
1979-09-30,17.28429828
1979-10-01,17.37072928
1979-10-02,17.39951567
1979-10-03,17.40804064
1979-10-04,17.47104745
1979-10-05,17.53149049
1979-10-06,17.57555511
1979-10-07,17.6337027
1979-10-08,17.65121857
1979-10-09,17.68588349
1979-10-10,17.72134528
1979-10-11,17.74087779
1979-10-12,17.74088386
1979-10-13,17.79466109
1979-10-14,17.83591005
1979-10-15,17.83614379
1979-10-16,17.85451472
1979-10-17,17.94732294
1979-10-18,18.04267158
1979-10-19,18.09468197
1979-10-20,18.09982824
1979-10-21,18.14914564
1979-10-22,18.14360807
1979-10-23,18.17614154
1979-10-24,18.1968536
1979-10-25,18.24332429
1979-10-26,18.30657959
1979-10-27,18.37034627
1979-10-28,18.39612163
1979-10-29,18.4582958
1979-10-30,18.47386126
1979-10-31,18.55896438
1979-11-01,18.53774135
1979-11-02,18.57703024
1979-11-03,18.61115351
